"Techstack","Links"
"Data Visualization, D3.js, Chart.js","https://example.com/data-viz-portfolio"
"Natural Language Processing, Python, spaCy","https://example.com/nlp-portfolio"
"Web Scraping, BeautifulSoup, Scrapy","https://example.com/web-scraping-portfolio"
"AI, OpenAI GPT-3, Python","https://example.com/ai-gpt3-portfolio"
"Mobile Apps, Swift, Core Data","https://example.com/mobile-swift-portfolio"
"API Development, Python, Flask","https://example.com/api-dev-portfolio"
"Data Mining, R, SQL","https://example.com/data-mining-portfolio"
"Robotics, ROS, Python","https://example.com/robotics-portfolio"
"Game Development, Unreal Engine, C++","https://example.com/game-dev-unreal-portfolio"
"Cloud Computing, GCP, Kubernetes","https://example.com/cloud-gcp-portfolio"
"Data Warehousing, Redshift, Snowflake","https://example.com/data-warehouse-portfolio"
"Business Intelligence, Power BI, SQL Server","https://example.com/bi-portfolio"
"Augmented Reality, ARCore, Unity","https://example.com/ar-portfolio"
"Machine Learning, Python, Scikit-learn","https://example.com/ml-scikit-learn-portfolio"
"Network Security, Fortinet, Cisco","https://example.com/network-security-portfolio"
"Blockchain, Hyperledger, Fabric","https://example.com/blockchain-hyperledger-portfolio"
"Full-stack, MERN, MongoDB","https://example.com/mern-portfolio"
"Frontend, Svelte, TypeScript","https://example.com/svelte-portfolio"
"Backend, Node.js, Express.js","https://example.com/nodejs-portfolio"
"Cloud, AWS, Lambda","https://example.com/aws-lambda-portfolio"
"Quantum Computing, Qiskit, Python","https://example.com/quantum-computing-portfolio"
"AI, BERT, Python","https://example.com/ai-bert-portfolio"
"Mobile Development, Kotlin, Firebase","https://example.com/kotlin-portfolio"
"Data Science, Python, Numpy","https://example.com/data-science-numpy-portfolio"
"DevOps, Ansible, Terraform","https://example.com/devops-ansible-portfolio"
"Data Engineering, Scala, Kafka","https://example.com/data-engineering-scala-portfolio"
"Cloud, AWS, S3","https://example.com/aws-s3-portfolio"
"Web Development, PHP, Laravel","https://example.com/web-php-portfolio"
"AI, Reinforcement Learning, Python","https://example.com/rl-portfolio"
"Database, SQL, Oracle","https://example.com/sql-oracle-portfolio"
"Security, Ethical Hacking, Python","https://example.com/ethical-hacking-portfolio"
"Data Analysis, Python, Pandas","https://example.com/data-analysis-pandas-portfolio"
"Machine Learning, PyTorch, Fastai","https://example.com/ml-pytorch-portfolio"
"Backend, Golang, MySQL","https://example.com/golang-portfolio"
"Frontend, Angular, Material Design","https://example.com/angular-material-portfolio"
"Cybersecurity, AWS Security, Python","https://example.com/aws-security-portfolio"
"Game Development, Godot, C#","https://example.com/godot-portfolio"
"Data Science, Python, Matplotlib","https://example.com/data-science-matplotlib-portfolio"
"Cloud, Azure, DevOps","https://example.com/azure-devops-portfolio"
"Web Development, ASP.NET, C#","https://example.com/aspnet-portfolio"
"Mobile Development, Flutter, Dart","https://example.com/flutter-dart-portfolio"
"Security, Penetration Testing, Metasploit","https://example.com/pen-test-portfolio"
"AI, Computer Vision, OpenCV","https://example.com/cv-opencv-portfolio"
"Cloud, AWS, EC2","https://example.com/aws-ec2-portfolio"
"Mobile Development, React Native, Expo","https://example.com/react-native-expo-portfolio"
"Data Engineering, Python, Spark","https://example.com/data-engineering-spark-portfolio"
"Web Development, Django, PostgreSQL","https://example.com/django-portfolio"
"AI, Deep Learning, TensorFlow","https://example.com/deep-learning-portfolio"
"Automation, Python, Ansible","https://example.com/automation-ansible-portfolio"
"Network Security, Juniper, Palo Alto","https://example.com/network-juniper-portfolio"
"Data Science, R, ggplot2","https://example.com/r-ggplot2-portfolio"
"Web Development, HTML, CSS, JavaScript","https://example.com/web-html-css-js-portfolio"
"Full-stack, Ruby on Rails, PostgreSQL","https://example.com/full-stack-rails-portfolio"
"Machine Learning, R, caret","https://example.com/ml-r-caret-portfolio"
"Security, Python, Nmap","https://example.com/security-nmap-portfolio"
"Cloud, Google Cloud, Kubernetes","https://example.com/gcp-kubernetes-portfolio"
"AI, Transformer Models, Python","https://example.com/transformer-ai-portfolio"
"Web Development, Bootstrap, jQuery","https://example.com/bootstrap-jquery-portfolio"
"Frontend, Vue.js, Vuetify","https://example.com/vuejs-vuetify-portfolio"
"DevOps, Kubernetes, Helm","https://example.com/kubernetes-helm-portfolio"
